Country,Language
Afghanistan,"Pashtu, Farsi, Dari, Hazaragi, other Turkic and minor
languages"
Albania,"Albanian (Tosk is the official dialect), Greek"
Algeria,"Arabic, French, Berber dialects"
Andorra,"Catalán, French, Castilian, Portuguese"
Angola,"Portuguese, Bantu and other African languages"
Antigua and Barbuda,"English, local dialects"
Argentina,"Spanish, English, Italian, German, French"
Armenia,"Armenian, Russian"
Australia,"English, Indigenous languages"
Austria,"German, Slovene, Croatian, Hungarian"
Azerbaijan,"Azerbaijani Turkic, Russian, Armenian, other"
Bahamas,"English, Creole"
Bahrain,"Arabic, English, Farsi, Urdu"
Bangladesh,"Bangla, English"
Barbados,English
Belarus,"Belorussian (White Russian), Russian, other"
Belize,"English, Spanish, Mayan, Garifuna (Carib), Creole"
Benin,"French, Fon, Yoruba, tribal languages"
Bhutan,"Dzongkha, Tibetan and Nepalese dialects"
Bolivia,"Spanish, Quechua, Aymara"
Bosnia and Herzegovina,"Bosnian, Croatian, Serbian (all formerly known as Serbo-
Croatian); written languages use Latin and Cyrillic script"
Botswana,"English, Setswana"
Brazil,"Portuguese, Spanish, English, French"
Brunei Darussalam,"Malay, English, Chinese"
Bulgaria,Bulgarian; secondary ethnic languages
Burkina Faso,"French, Indigenous African (Sudanic) languages"
Burundi,"Kirundi, French, Swahili"
Cambodia,"Khmer, French, English"
Cameroon,"French, English; 24 major African language groups"
Canada,"English, French; Indigenous languages"
Cape Verde,"Portuguese, Criuolo"
Central African Republic,"French, Sangho, Arabic, Hansa, Swahili"
Chad,"French, Arabic, Sara, more than 120 languages and
dialects"
Chile,Spanish
Country,Language
China (PRC),"Cantonese, Mandarin, also local dialects (Daur, Kalmyk- Oirat, Lu, Peripheral Mongolian, Central Tibetan, Uyghur,
Xibe, Zhuang)"
Colombia,Spanish
Comoros,"Arabic and French, Shikomoro (Swahili/Arabic blend)"
"Congo, Republic of","French, Lingala, Monokutuba, Kikongo, many local
languages and dialects"
Congo (DRC),"French, Lingala, Kingwana, Kikongo, Tshiluba"
Costa Rica,"Spanish, English"
Côte d’Ivoire,"French, African languages (Diaula esp.)"
Croatia,"Bosnian, Croatian, Serbian (all formerly known as Serbo- Croatian), Italian, Hungarian, Czech, Slovak, German, and
other languages"
Cuba,Spanish
Cyprus,"Greek, Turkish, English"
Czech Republic,Czech
Denmark,"Danish, Faeroese, Greenlandic (Inuit dialect), German,
English"
Djibouti,"French, Arabic, Somali, Afar Dominica: English, French
patois"
Dominican Republic,Spanish
East Timor,"Tetum, Portuguese, Bahasa Indonesian, English, other Indigenous languages, including Tetum, Galole, Mambae,
and Kemak"
Ecuador,"Spanish, Quechua, other Amerindian languages"
Egypt,"Arabic, English, French"
El Salvador,"Spanish, Nahua (among some Amerindians)"
Equatorial Guinea,"Spanish, French, pidgin English, Fang, Bubi, Ibo"
Eritrea,"Afar, Arabic, Tigre and Kunama, Tigrinya, other Cushitic
languages"
Estonia,"Estonian, Russian, Ukrainian, Finnish, other"
Ethiopia,"Amharic, Tigrigna, Orominga, Guaragigna, Somali, Arabic,
English, 70 others"
Fiji,"English, Fijian, Hindustani"
Finland,"Finnish, Swedish, small Sami (Lapp), Russian"
France,"French regional dialects (Provençal, Breton, Alsatian,
Corsican, Catalan, Basque, Flemish)"
Gabon,"French, Fang, Myene, Bateke, Bapounou/Eschira, Bandjabi Gambia, The: English, Mandinka, Wolof, Fula, Serer-Sine, Sarahole, Pulaar, Maninkakan, Mandjaque,
Mandingo, Jola-Fonyi, Creole"
Georgia,"Georgian, Russian, Armenian, Azerbaijani, Abkhaz"
Germany,German
Ghana,"English, Indigenous languages (Brong Ahafo, Twi, Fanti,
Ga, Ewe, Dagbani)"
Greece,"Greek, English, French"
Grenada,"English, French patois"
Guatemala,"Spanish, Amerindian languages (23 officially recognised Amerindian languages, including Quiche, Cakchiquel,
Kekchi, Mam, Garifuna, and Xinca)"
Guinea,"French, Indigenous languages (Malinké, Susu, Fulani)"
Guinea-Bissau,"Portuguese, Criolo, African languages"
Country,Language
