country1,country2,weight
USA,Sweden,266
Canada,Sweden,266
Sweden,France,151
Sweden,Canada,151
France,Netherlands,276
Canada,Netherlands,276
Netherlands,China,77
China,Spain,152
China,Mexico,152
Spain,fi,58
Mexico,fi,58
fi,pt,41
pt,he,21
he,da,10
da,no,32
no,bg,25
bg,uk,32
uk,ru,115
ru,tr,39
tr,ur,11
lt,gl,7
gl,sq,9
sq,ar,6
sr,bs,50
ka,eu,11
eu,ro,6
ro,ca,20
ca,sl,7
sl,hu,28
hu,th,8
oc,io,5
hr,fa,6
tl,nn,5
nn,cs,16
pnb,yo,8
hsb,dsb,7
USA,de,1807
Canada,de,1807
de,Sweden,357
Sweden,Spain,116
Sweden,Mexico,116
Spain,Netherlands,136
Mexico,Netherlands,136
Netherlands,ja,68
ja,et,5
et,ru,33
ru,pt,98
pt,sl,16
sl,ms,16
ms,id,19
id,no,33
no,cy,6
cy,pl,9
pl,fi,58
fi,uk,25
uk,he,13
he,sk,6
sk,lv,15
lv,nds,16
nds,China,8
China,gl,34
gl,ca,26
ca,sq,6
sq,lt,14
lt,oc,6
oc,ro,6
ro,it,45
it,hy,13
nn,se,11
se,cs,10
ht,hu,15
hu,da,9
da,hr,6
th,bg,5
bg,tl,6
bs,la,6
la,simple,15
simple,ga,13
ga,an,7
an,az,5
az,kw,7
tg,ilo,9
pms,nov,8
ko,hi,6
hi,kk,5
ug,diq,7
diq,crh,13
dv,qu,8
vec,ie,8
scn,nah,5
ts,be_x_old,5
gv,yo,5
yo,ceb,5
sah,mzn,8
pnb,hif,11
st,ss,6
ss,rw,6
rw,gag,5
ckb,pi,7
su,ce,6
ce,or,5
or,zu,12
zu,hsb,11
min,ky,6
olo,frr,6
lfn,udm,9
udm,sm,7
Netherlands,USA,345
Netherlands,Canada,345
USA,li,6
Canada,li,6
li,France,23
li,Canada,23
France,China,260
Canada,China,260
China,ca,82
ca,arz,11
USA,br,149
Canada,br,149
br,Spain,156
br,Mexico,156
Spain,war,1161
Mexico,war,1161
war,oc,126
oc,ms,184
ms,Sweden,496
Sweden,China,348
China,la,374
la,ar,236
ar,id,266
id,de,246
de,lb,174
lb,pcd,48
cs,eo,94
eo,de,106
de,USA,2024
de,Canada,2024
USA,ro,200
Canada,ro,200
ro,ru,166
ru,Sweden,138
war,pcd,44
pcd,oc,34
id,cs,23
cs,de,235
li,Netherlands,12
USA,ca,274
Canada,ca,274
ca,Spain,252
ca,Mexico,252
Spain,France,324
Spain,Canada,324
Mexico,France,324
Mexico,Canada,324
de,Netherlands,478
USA,Spain,1160
USA,Mexico,1160
Canada,Spain,1160
Canada,Mexico,1160
war,br,49
br,oc,35
ko,ja,26
France,USA,681
France,Canada,681
Canada,USA,681
Canada,Canada,681
USA,oc,151
Canada,oc,151
oc,Spain,152
oc,Mexico,152
Spain,br,76
Mexico,br,76
br,war,69
war,ms,894
id,pcd,28
sq,de,89
de,cs,265
cs,lb,19
USA,China,552
Canada,China,552
China,eu,43
eu,tg,12
tg,France,7
tg,Canada,7
France,pl,293
Canada,pl,293
de,ru,349
USA,sw,43
Canada,sw,43
sw,it,13
it,el,28
France,de,688
Canada,de,688
de,eo,239
eo,ru,76
China,USA,292
China,Canada,292
USA,ms,46
Canada,ms,46
ms,Netherlands,23
Netherlands,zh_yue,7
USA,pl,597
Canada,pl,597
pl,bg,38
bg,Netherlands,23
Netherlands,Sweden,68
Sweden,pt,73
pt,France,504
pt,Canada,504
France,ru,292
Canada,ru,292
ru,China,187
China,ms,415
ms,sr,160
sr,Spain,215
sr,Mexico,215
USA,France,1163
USA,Canada,1163
Canada,France,1163
Canada,Canada,1163
France,fa,133
Canada,fa,133
USA,io,168
Canada,io,168
io,ht,95
ht,simple,50
simple,eo,7
eo,France,165
eo,Canada,165
pl,Spain,209
pl,Mexico,209
Spain,fy,5
Mexico,fy,5
fy,it,5
it,ky,13
ky,tr,42
tr,hu,29
hu,China,47
China,azb,25
de,pl,712
pl,eo,79
ru,Netherlands,96
Netherlands,pt,95
France,sr,140
Canada,sr,140
sr,China,39
ms,lv,30
lv,ko,14
ko,Spain,58
ko,Mexico,58
China,no,67
no,France,136
no,Canada,136
France,bn,6
Canada,bn,6
pt,de,508
Spain,eu,187
Mexico,eu,187
eu,tr,18
tr,ca,16
ca,war,214
da,France,31
da,Canada,31
France,cs,73
Canada,cs,73
cs,China,60
China,uk,109
lt,uk,24
USA,ja,229
Canada,ja,229
ja,China,219
China,France,329
China,Canada,329
France,pt,197
Canada,pt,197
Netherlands,li,9
it,Spain,247
it,Mexico,247
Spain,USA,562
Spain,Canada,562
Mexico,USA,562
Mexico,Canada,562
USA,ru,282
Canada,ru,282
ru,pl,183
pl,France,335
pl,Canada,335
de,Spain,621
de,Mexico,621
Spain,tr,36
Mexico,tr,36
tr,France,58
tr,Canada,58
ru,ca,54
ca,uk,68
uk,war,22
war,fi,7
fi,no,45
no,China,75
pl,de,366
USA,pt,605
Canada,pt,605
pt,Spain,1158
pt,Mexico,1158
Spain,eo,46
Mexico,eo,46
eo,sr,10
sr,France,152
sr,Canada,152
China,ja,217
ja,USA,174
ja,Canada,174
USA,fi,109
Canada,fi,109
fi,ms,11
ms,vi,6
de,hu,55
hu,tr,14
tr,uk,30
uk,fi,35
fi,cs,29
eo,it,127
Spain,be,15
