Language,Vector
enwiki,"[ 4.68428545e-02  7.34915882e-02  3.02180320e-01  3.43444973e-01
  1.38672754e-01 -3.11339736e-01  5.78692853e-02 -1.71016917e-01
 -9.53639373e-02 -1.74417555e-01 -4.43631858e-02 -1.16550006e-01
 -1.48829550e-01 -1.51629414e-04  1.96627099e-02  9.22674313e-02
 -6.11143447e-02  8.75404626e-02  2.06285026e-02  1.86924130e-01
 -1.78343579e-01  1.17064722e-01  2.27200672e-01 -2.04353839e-01
  1.12208992e-01  1.35274678e-01 -1.49493009e-01 -1.62458315e-01
  1.73858646e-02 -2.38990009e-01  5.92101403e-02  7.58735165e-02
  1.09289801e-02  1.19966671e-01 -9.42192879e-03 -9.73032787e-02
 -1.36308717e-02  6.37439713e-02 -2.55539790e-02  3.11980005e-02
  5.75756170e-02 -1.46305367e-01  1.02792062e-01 -8.02142769e-02
  1.31088287e-01 -2.74972059e-02  9.51688141e-02 -1.30044088e-01
  1.04290880e-01  1.37667805e-01  2.10979069e-03 -1.06590375e-01
  1.34253070e-01 -4.55643646e-02  7.78244361e-02  1.43008962e-01
  2.30927885e-01 -5.03799468e-02  8.17537159e-02  2.09917761e-02
 -4.65779752e-03 -1.22714490e-01 -9.62892324e-02  2.21362561e-01]"
svwiki,"[ 0.00866828 -0.07684007  0.16521314  0.22747204  0.00238915 -0.29900876
  0.07609937  0.01713939 -0.41881204 -0.16965954  0.15382127  0.00362592
 -0.31248084 -0.01803389  0.05253611 -0.01203076  0.02851009  0.07578172
 -0.03737722  0.17356679 -0.00248888  0.05748425  0.14676352 -0.18256831
 -0.083611    0.11946169 -0.01937503  0.10452098 -0.17954546 -0.12518479
  0.08447292  0.10754509 -0.05031383 -0.03004163 -0.09132758 -0.23050071
  0.13387147  0.1297932  -0.0741373  -0.03620202  0.07375947 -0.12467103
  0.05578339 -0.17246556 -0.01013078 -0.20706812 -0.01353045  0.07296234
 -0.06181932  0.01976208 -0.10415766  0.03338132  0.20503898  0.07583779
 -0.00168088  0.17513168  0.10093941  0.10267106 -0.02642134  0.14237513
 -0.02401749 -0.13321887 -0.05505168  0.01147059]"
frwiki,"[-0.04694824  0.26694617  0.12491765  0.19161277  0.04748093 -0.24462622
  0.02996257 -0.24138202 -0.07195553 -0.0079798   0.08546488 -0.15723664
 -0.06825107 -0.12873885 -0.1714577   0.20485428  0.23230799 -0.02027156
  0.05781009  0.00628368 -0.07951083  0.05474164  0.07318471 -0.08385573
 -0.06009249  0.10715937 -0.04847078  0.0046982   0.20781979 -0.2535816
  0.31503424  0.17490454 -0.17877507  0.1799762  -0.03747423 -0.39865798
  0.03710238  0.18657732  0.06782837  0.05242459 -0.05215168 -0.13620603
  0.18499094 -0.13975632  0.14082667 -0.01107756  0.26166004 -0.18436596
 -0.16984397  0.15080076 -0.08660722 -0.35590833  0.1480198  -0.04672913
 -0.00532563  0.04339632  0.16780184  0.02426373 -0.08365005  0.01211174
 -0.00390214 -0.06007687 -0.29981536  0.11611608]"
nlwiki,"[ 0.10872626 -0.01019057  0.1910775   0.21014358  0.1898759  -0.4086567
 -0.06191421 -0.04534336 -0.15806136 -0.08668205 -0.03295942 -0.15096278
 -0.17833069 -0.05716363  0.05279391  0.02936137  0.14798905 -0.01092771
 -0.16033138  0.25547364 -0.00127619  0.11052717  0.12161437 -0.09853026
  0.03336277  0.1077261  -0.20706983 -0.00192983 -0.00297842 -0.22651844
  0.23969509  0.02540005 -0.1724647  -0.04668856 -0.11317448 -0.23787947
 -0.059559    0.10433041  0.06593663 -0.12286944  0.0274043  -0.07469793
  0.0756539  -0.13578868  0.07906368 -0.05808634 -0.05569222  0.01190341
 -0.06501995  0.04456014  0.03021108 -0.05302609  0.09396478 -0.10413115
  0.22039483  0.00253731  0.1482759  -0.02329798 -0.08388095  0.16472952
  0.04379296 -0.14831536 -0.03378434 -0.01941751]"
zhwiki,"[ 0.04527954  0.11519516  0.09204376  0.0482675   0.24919267  0.09093917
  0.11067882 -0.4235491  -0.4823522  -0.04604401  0.08687805  0.03771221
 -0.25132543 -0.2042985  -0.10270271  0.09761648  0.20155837  0.10090935
  0.10240732  0.12434688 -0.09853312  0.05435859 -0.01945785 -0.16153772
 -0.07901828  0.09932642 -0.41375425  0.12034675 -0.12841004 -0.10908715
  0.01089708  0.10296398 -0.03056426  0.15974788 -0.15630014  0.05092475
  0.06044002  0.5047363  -0.0216154   0.00491412 -0.12003263 -0.04666561
  0.19756165 -0.14252988  0.20352362  0.22975366  0.05072181 -0.07141063
  0.12917164 -0.115698   -0.10995904  0.07322627  0.11198246 -0.00264345
  0.2090333   0.03784111  0.10271534 -0.03940596  0.06714068  0.11255465
 -0.21156074 -0.08486787 -0.25425678  0.18154392]"
eswiki,"[ 0.13560471  0.01761774  0.2004044   0.26115528  0.08219664  0.00800488
 -0.06610871 -0.16035224 -0.14742842 -0.14224994  0.2601352  -0.12591548
 -0.3417204   0.01398997 -0.00384308  0.25179833  0.10074948  0.28350836
 -0.09187998  0.03714734  0.15182991  0.2857353   0.11512165 -0.10993692
 -0.12646048  0.16630003  0.05039582 -0.17834853  0.042291   -0.03814164
  0.02049876 -0.07810599  0.09111229  0.11769193  0.07762452 -0.21623296
 -0.22464289  0.1652709  -0.319428    0.15217903  0.31224024  0.17778628
 -0.01366122 -0.03455051  0.16327591  0.01081921 -0.07053252  0.02425292
  0.03685456  0.25820196 -0.0235534  -0.08857764 -0.05323743  0.06120606
  0.41383392 -0.1082119   0.38732427 -0.12747456 -0.0652163   0.04702761
 -0.08516814 -0.01756383 -0.0654878   0.10713207]"
fiwiki,"[ 0.01225516 -0.01550931  0.21092217  0.12528849 -0.02063797 -0.126926
  0.07485206 -0.04975446 -0.09748935 -0.26379997  0.06669018 -0.06880438
 -0.14826946 -0.05340315  0.12753077  0.1591239   0.16268219  0.00610358
 -0.13265796  0.10991471  0.10259153  0.17069282  0.07910126 -0.05828908
  0.06306422  0.2403195  -0.10537733 -0.11720744  0.04827239 -0.23192132
  0.02974907  0.15515947 -0.0424772   0.09059505 -0.13604684 -0.03292427
  0.13628392  0.11589538 -0.01275263  0.09308214 -0.06590195 -0.02479023
  0.1711069  -0.2407486   0.15340942  0.0882031   0.03860429  0.11067381
 -0.13381936  0.29863676 -0.03909755  0.00378661  0.15997326  0.09529074
  0.20295128  0.12067416 -0.00370557 -0.05787769 -0.0045005   0.0847922
  0.0703767   0.01136979 -0.07490543  0.02478877]"
ptwiki,"[ 0.11806506 -0.08602561  0.2842111   0.05322013 -0.01268449 -0.05959768
  0.08791958 -0.2086649  -0.24952245 -0.09639977  0.0702337  -0.01055422
 -0.22911346  0.0066805   0.0078467   0.2453063   0.11621273  0.16556518
 -0.17571518  0.01901989 -0.02542373  0.18046002  0.12251796 -0.06727107
  0.0097823   0.23198014 -0.18181987 -0.05209116 -0.11450862 -0.0740071
  0.11017013  0.03206366 -0.19284718  0.05815018 -0.34249222 -0.00320067
 -0.05058709  0.10561944 -0.04676241  0.03862393 -0.03753461 -0.06510597
  0.1273912  -0.11125107  0.07124381  0.09052429  0.08254156 -0.00616179
 -0.04793365  0.08624741 -0.16537213  0.10600403  0.02473719 -0.14644398
  0.22891884  0.1552634   0.07635605 -0.1132504  -0.16403294  0.0729928
  0.07189246 -0.14995818 -0.17669164  0.07077637]"
hewiki,"[ 0.04362075 -0.08297832  0.24638532  0.09177222 -0.17781985 -0.22418411
  0.1734955  -0.04813548 -0.32516474  0.11988283  0.00512003 -0.00152641
 -0.09399582 -0.00469799 -0.0433539   0.1355002   0.2208795   0.10856873
 -0.02233106  0.17055355  0.097426    0.21953654  0.18311624 -0.10294814
 -0.10937882  0.28840327 -0.11589845 -0.00945633  0.11334487 -0.0816296
  0.0933476   0.16219802  0.02527812 -0.05383863 -0.17222762 -0.08940417
  0.24576826  0.14258946 -0.08487634 -0.07903256  0.11096339  0.10835934
  0.09134863 -0.13634375  0.18419224  0.08831175  0.17444688  0.03545626
  0.04418991  0.0623442  -0.05365873  0.03328881  0.10961495  0.1505007
 -0.00650161  0.07090574  0.00784091  0.01581331 -0.08152672  0.0159518
 -0.12626891 -0.02141534 -0.01199338 -0.21498969]"
dawiki,"[ 0.18183653  0.03364214  0.1389047   0.07882518  0.10892639 -0.33204427
  0.14103398  0.09637153 -0.29501107 -0.12441047 -0.14443095 -0.15864284
 -0.1912954   0.01111513  0.2216642   0.09883076  0.22128242  0.00402996
 -0.06115201  0.11951696  0.14210923  0.17878686  0.13692665 -0.03727183
  0.00960488  0.26766336 -0.04116092 -0.0466641   0.11457612 -0.12854774
  0.0413971   0.14987381  0.08809061 -0.0802516  -0.02268684 -0.14573461
  0.1050478   0.22839707 -0.03149741  0.02214588 -0.12331188 -0.02100589
  0.11017575 -0.10498744  0.03275221 -0.01037422 -0.0261449  -0.08362326
 -0.1029163   0.00914144 -0.07299539  0.14738275  0.07941466  0.08368045
  0.06732309  0.21300162  0.13248615  0.02960685 -0.06058105  0.23391132
  0.06087863 -0.04137854  0.03384565 -0.11859249]"
